Date,Product,Region,Quantity,Category,Unit_Price,Sales,Profit
2025-06-19,Headphones,East,4,Electronics,2500,10000,1432.29
2025-07-07,Printer,West,8,Office,15000,120000,18814.62
2025-09-28,Laptop,South,1,Electronics,55000,55000,8115.52
2025-07-09,Printer,North,9,Office,15000,135000,12943.71
2025-06-24,Printer,East,6,Office,15000,90000,13948.4
2025-02-20,Tablet,East,4,Electronics,22000,88000,9966.31
2025-12-30,Printer,East,9,Office,15000,135000,15085.3
2025-02-24,Headphones,South,5,Electronics,2500,12500,1199.83
2025-09-01,Monitor,North,5,Electronics,12000,60000,8438.04
2025-11-16,Tablet,West,5,Electronics,22000,110000,22964.91
2025-05-11,Tablet,West,1,Electronics,22000,22000,2793.89
2025-11-03,Keyboard,East,1,Accessories,1500,1500,199.65
2025-05-15,Tablet,South,8,Electronics,22000,176000,33308.83
2025-01-21,Keyboard,South,8,Accessories,1500,12000,1359.52
2025-11-25,Tablet,South,6,Electronics,22000,132000,30687.74
2025-06-16,Laptop,West,4,Electronics,55000,220000,37055.13
2025-10-01,Headphones,East,2,Electronics,2500,5000,780.46
2025-03-30,Tablet,North,2,Electronics,22000,44000,7692.5
2025-11-12,Headphones,West,9,Electronics,2500,22500,2435.08
2025-01-14,Headphones,East,5,Electronics,2500,12500,2303.63
2025-08-30,Mouse,East,4,Accessories,800,3200,453.53
2025-09-22,Tablet,North,1,Electronics,22000,22000,5115.48
2025-12-12,Mobile,North,7,Electronics,30000,210000,22828.1
2025-02-22,Mouse,North,3,Accessories,800,2400,398.88
2025-12-06,Mobile,South,6,Electronics,30000,180000,32702.25
2025-04-02,Headphones,North,5,Electronics,2500,12500,1070.94
2025-09-21,Headphones,East,5,Electronics,2500,12500,1772.85
2025-02-04,Mouse,North,5,Accessories,800,4000,818.19
2025-07-25,Mouse,East,1,Accessories,800,800,175.57
2025-03-22,Mobile,West,1,Electronics,30000,30000,3997.13
2025-02-19,Keyboard,South,3,Accessories,1500,4500,970.92
2025-12-26,Mobile,West,4,Electronics,30000,120000,29342.22
2025-01-02,Mouse,West,5,Accessories,800,4000,902.67
2025-02-23,Monitor,East,2,Electronics,12000,24000,2399.99
2025-04-16,Mouse,West,8,Accessories,800,6400,1316.83
2025-09-17,Monitor,East,2,Electronics,12000,24000,3224.24
2025-11-06,Laptop,North,9,Electronics,55000,495000,122775.21
2025-07-10,Mouse,North,2,Accessories,800,1600,260.02
2025-08-06,Laptop,East,9,Electronics,55000,495000,49902.81
2025-02-13,Keyboard,North,7,Accessories,1500,10500,2134.46
2025-06-11,Mobile,South,8,Electronics,30000,240000,32378.86
2025-07-21,Monitor,West,2,Electronics,12000,24000,5988.08
2025-09-27,Mobile,South,7,Electronics,30000,210000,51778.23
2025-12-17,Laptop,West,6,Electronics,55000,330000,63209.12
2025-10-31,Monitor,North,4,Electronics,12000,48000,4899.38
2025-09-28,Mobile,South,7,Electronics,30000,210000,41320.94
2025-08-03,Mouse,North,4,Accessories,800,3200,306.61
2025-09-09,Headphones,West,2,Electronics,2500,5000,424.96
2025-07-09,Laptop,East,7,Electronics,55000,385000,84662.63
2025-10-23,Mobile,East,8,Electronics,30000,240000,27757.92
2025-08-01,Laptop,South,2,Electronics,55000,110000,15887.81
2025-07-27,Printer,North,5,Office,15000,75000,18411.58
2025-08-25,Laptop,North,1,Electronics,55000,55000,7549.46
2025-12-04,Monitor,South,7,Electronics,12000,84000,10953.87
2025-02-22,Printer,East,8,Office,15000,120000,28331.44
2025-10-07,Tablet,West,6,Electronics,22000,132000,13045.2
2025-08-05,Monitor,South,5,Electronics,12000,60000,12547.74
2025-09-09,Headphones,West,6,Electronics,2500,15000,3719.57
2025-07-07,Printer,East,2,Office,15000,30000,6996.61
2025-02-10,Tablet,North,1,Electronics,22000,22000,4197.24
2025-06-06,Mouse,East,7,Accessories,800,5600,746.99
2025-01-15,Laptop,South,7,Electronics,55000,385000,47445.37
2025-10-28,Mobile,North,2,Electronics,30000,60000,13156.4
2025-03-06,Keyboard,South,2,Accessories,1500,3000,688.71
2025-12-11,Laptop,South,1,Electronics,55000,55000,9312.82
2025-11-23,Tablet,East,8,Electronics,22000,176000,21390.65
2025-01-09,Laptop,South,8,Electronics,55000,440000,43648.15
2025-12-10,Headphones,East,1,Electronics,2500,2500,237.05
2025-05-09,Mouse,North,8,Accessories,800,6400,1294.36
2025-05-16,Keyboard,East,9,Accessories,1500,13500,7455.485000000001
2025-03-04,Printer,North,4,Office,15000,60000,14034.67
2025-05-19,Printer,East,1,Office,15000,15000,3086.16
2025-03-22,Printer,West,1,Office,15000,15000,1687.71
2025-06-12,Tablet,West,3,Electronics,22000,66000,12166.58
2025-10-16,Monitor,South,5,Electronics,12000,60000,9242.16
2025-09-18,Monitor,East,5,Electronics,12000,60000,10687.95
2025-08-19,Mobile,East,9,Electronics,30000,270000,55477.37
2025-02-10,Keyboard,North,2,Accessories,1500,3000,651.16
2025-01-28,Printer,South,2,Office,15000,30000,6703.06
2025-05-15,Monitor,East,6,Electronics,12000,72000,8868.65
2025-07-20,Tablet,South,9,Electronics,22000,198000,16887.35
2025-11-24,Mobile,West,1,Electronics,30000,30000,6170.4
2025-09-25,Mouse,East,9,Accessories,800,7200,706.16
2025-02-02,Mobile,East,9,Electronics,30000,270000,36054.81
2025-02-17,Monitor,South,9,Electronics,12000,108000,8710.08
2025-03-03,Headphones,East,5,Electronics,2500,12500,2448.55
2025-08-04,Tablet,South,9,Electronics,22000,198000,21465.66
2025-10-20,Headphones,East,4,Electronics,2500,10000,1913.98
2025-04-09,Printer,North,2,Office,15000,30000,7457.89
2025-06-21,Headphones,South,6,Electronics,2500,15000,1385.31
2025-12-26,Printer,East,4,Office,15000,60000,5586.2
2025-08-02,Printer,West,6,Office,15000,90000,12407.82
2025-02-04,Monitor,East,3,Electronics,12000,36000,8182.29
2025-08-15,Headphones,West,6,Electronics,2500,15000,1749.6
2025-04-11,Printer,West,2,Office,15000,30000,4237.93
2025-05-11,Keyboard,North,2,Accessories,1500,3000,274.94
2025-09-14,Mouse,South,9,Accessories,800,7200,1510.1
2025-01-05,Mobile,East,7,Electronics,30000,210000,31376.54
2025-08-06,Mobile,North,3,Electronics,30000,90000,18816.51
2025-09-12,Monitor,East,1,Electronics,12000,12000,2803.36
2025-12-25,Headphones,West,8,Electronics,2500,20000,2391.39
2025-10-10,Headphones,South,6,Electronics,2500,15000,3258.86
2025-07-26,Printer,East,7,Office,15000,105000,9454.83
2025-01-15,Tablet,East,9,Electronics,22000,198000,46095.2
2025-12-12,Laptop,West,5,Electronics,55000,275000,52423.43
2025-02-11,Printer,East,1,Office,15000,15000,3429.28
2025-06-28,Mouse,East,7,Accessories,800,5600,448.18
2025-03-04,Keyboard,West,5,Accessories,1500,7500,815.58
2025-12-18,Mobile,North,3,Electronics,30000,90000,13163.32
2025-08-19,Printer,West,9,Office,15000,135000,19509.59
2025-08-29,Laptop,North,1,Electronics,55000,55000,6519.93
2025-02-21,Laptop,South,1,Electronics,55000,55000,7968.07
2025-04-06,Printer,North,1,Office,15000,15000,1528.56
2025-08-10,Monitor,North,3,Electronics,12000,36000,5406.1
2025-08-19,Mobile,South,6,Electronics,30000,180000,38952.04
2025-08-25,Monitor,North,3,Electronics,12000,36000,5811.91
2025-05-23,Keyboard,West,8,Accessories,1500,12000,996.72
2025-06-20,Laptop,North,2,Electronics,55000,110000,16681.0
2025-01-29,Laptop,South,9,Electronics,55000,495000,41886.78
2025-02-05,Mouse,West,3,Accessories,800,2400,586.23
2025-01-13,Keyboard,South,5,Accessories,1500,7500,762.5
2025-06-09,Laptop,South,8,Electronics,55000,440000,88135.09
2025-11-23,Keyboard,East,2,Accessories,1500,3000,736.12
2025-07-06,Mobile,East,6,Electronics,30000,180000,39676.79
2025-08-31,Headphones,South,5,Electronics,2500,12500,2486.05
2025-03-27,Laptop,South,9,Electronics,55000,495000,110240.64
2025-10-11,Mouse,South,5,Accessories,800,4000,987.62
2025-03-07,Mobile,East,2,Electronics,30000,60000,11137.71
2025-06-19,Printer,East,5,Office,15000,75000,13129.61
2025-02-14,Keyboard,North,4,Accessories,1500,6000,1120.8
2025-03-03,Printer,North,7,Office,15000,105000,17908.26
2025-05-14,Monitor,South,6,Electronics,12000,72000,13533.49
2025-10-11,Mobile,West,2,Electronics,30000,60000,9388.39
2025-01-28,Printer,West,5,Office,15000,75000,8785.15
2025-04-18,Tablet,East,7,Electronics,22000,154000,15468.07
2025-02-13,Tablet,East,7,Electronics,22000,154000,14109.17
2025-12-06,Laptop,East,5,Electronics,55000,275000,34310.01
2025-10-13,Keyboard,South,9,Accessories,1500,13500,1185.85
2025-11-27,Headphones,West,4,Electronics,2500,10000,1764.19
2025-05-08,Mobile,North,3,Electronics,30000,90000,11542.58
2025-12-14,Laptop,South,4,Electronics,55000,220000,48437.6
2025-08-19,Mouse,North,5,Accessories,800,4000,370.48
2025-07-09,Monitor,North,6,Electronics,12000,72000,8530.54
2025-08-13,Keyboard,South,3,Accessories,1500,4500,918.64
2025-10-10,Mobile,North,2,Electronics,30000,60000,10907.84
2025-05-01,Tablet,West,4,Electronics,22000,88000,8004.79
2025-04-26,Mobile,North,5,Electronics,30000,150000,34369.61
2025-08-21,Headphones,West,4,Electronics,2500,10000,2291.34
2025-09-16,Tablet,West,3,Electronics,22000,66000,8987.18
2025-12-25,Headphones,West,8,Electronics,2500,20000,2757.38
2025-07-17,Mouse,East,4,Accessories,800,3200,794.03
2025-05-17,Monitor,North,2,Electronics,12000,24000,4474.8
2025-11-14,Mouse,South,2,Accessories,800,1600,272.52
2025-06-14,Laptop,South,1,Electronics,55000,55000,12236.72
2025-08-13,Laptop,North,4,Electronics,55000,220000,28269.86
2025-11-03,Mouse,East,9,Accessories,800,7200,1101.32
2025-08-22,Monitor,East,7,Electronics,12000,84000,10543.85
2025-06-21,Mouse,West,7,Accessories,800,5600,1199.28
2025-06-01,Monitor,North,7,Electronics,12000,84000,14907.43
2025-11-11,Monitor,North,8,Electronics,12000,96000,18432.03
2025-06-09,Printer,South,1,Office,15000,15000,1843.38
2025-04-06,Tablet,North,8,Electronics,22000,176000,20669.14
2025-08-21,Keyboard,East,4,Accessories,1500,6000,978.14
2025-06-29,Monitor,North,4,Electronics,12000,48000,9858.54
2025-04-23,Headphones,South,4,Electronics,2500,10000,1692.91
2025-11-14,Monitor,West,6,Electronics,12000,72000,6159.58
2025-02-21,Monitor,South,7,Electronics,12000,84000,19122.92
2025-09-25,Monitor,South,6,Electronics,12000,72000,6551.77
2025-10-22,Printer,West,1,Office,15000,15000,3637.35
2025-04-23,Tablet,South,8,Electronics,22000,176000,14832.25
2025-04-11,Printer,South,7,Office,15000,105000,20795.94
2025-04-23,Laptop,North,6,Electronics,55000,330000,31011.82
2025-03-22,Printer,North,6,Office,15000,90000,21133.35
2025-07-06,Headphones,West,5,Electronics,2500,12500,1986.92
2025-04-23,Headphones,North,6,Electronics,2500,15000,1550.69
2025-01-02,Printer,North,9,Office,15000,135000,18621.72
2025-05-10,Tablet,South,9,Electronics,22000,198000,21388.0
2025-08-08,Mouse,East,8,Accessories,800,6400,697.59
2025-02-23,Keyboard,North,9,Accessories,1500,13500,3255.91
2025-12-09,Tablet,East,8,Electronics,22000,176000,27401.76
2025-08-12,Printer,North,8,Office,15000,120000,25691.57
2025-08-13,Monitor,North,1,Electronics,12000,12000,2264.8
2025-05-06,Mobile,West,5,Electronics,30000,150000,29248.87
2025-05-10,Keyboard,West,4,Accessories,1500,6000,614.33
2025-02-22,Keyboard,West,2,Accessories,1500,3000,359.43
2025-06-21,Headphones,East,8,Electronics,2500,20000,4274.95
2025-08-06,Keyboard,South,3,Accessories,1500,4500,1102.64
2025-06-09,Printer,North,4,Office,15000,60000,7479.29
2025-07-17,Monitor,North,7,Electronics,12000,84000,10598.0
2025-09-04,Monitor,North,9,Electronics,12000,108000,17322.39
2025-11-20,Laptop,East,2,Electronics,55000,110000,27197.81
2025-07-22,Monitor,West,3,Electronics,12000,36000,4526.03
2025-07-03,Tablet,South,4,Electronics,22000,88000,13128.3
2025-05-03,Monitor,East,1,Electronics,12000,12000,2778.62
2025-09-12,Headphones,West,7,Electronics,2500,17500,1408.69
2025-10-21,Monitor,East,2,Electronics,12000,24000,2082.25
2025-10-07,Laptop,South,5,Electronics,55000,275000,50240.35
2025-11-21,Mobile,West,1,Electronics,30000,30000,7027.64
2025-04-08,Printer,East,3,Office,15000,45000,5427.25
2025-07-17,Headphones,South,2,Electronics,2500,5000,799.2
2025-08-28,Tablet,North,1,Electronics,22000,22000,3444.74
2025-05-24,Mobile,South,7,Electronics,30000,210000,33685.08
2025-04-07,Headphones,North,5,Electronics,2500,12500,2322.85
2025-07-20,Mouse,East,1,Accessories,800,800,127.89
2025-05-04,Keyboard,West,6,Accessories,1500,9000,1404.63
2025-07-06,Mouse,West,5,Accessories,800,4000,642.52
2025-11-22,Monitor,East,3,Electronics,12000,36000,6496.11
2025-12-15,Mobile,West,7,Electronics,30000,210000,35971.17
2025-09-16,Monitor,West,9,Electronics,12000,108000,24321.94
2025-05-28,Keyboard,North,9,Accessories,1500,13500,1193.6
2025-09-09,Headphones,East,9,Electronics,2500,22500,4987.44
2025-12-12,Keyboard,South,2,Accessories,1500,3000,670.4
2025-05-27,Laptop,North,3,Electronics,55000,165000,21191.67
2025-05-28,Keyboard,East,7,Accessories,1500,10500,1666.19
2025-12-18,Laptop,North,5,Electronics,55000,275000,42501.67
2025-07-18,Keyboard,South,2,Accessories,1500,3000,351.44
2025-11-04,Printer,South,3,Office,15000,45000,6635.5
2025-05-08,Laptop,East,6,Electronics,55000,330000,28890.15
2025-02-08,Mobile,South,7,Electronics,30000,210000,26718.25
2025-12-04,Monitor,North,9,Electronics,12000,108000,23634.28
2025-12-26,Tablet,South,1,Electronics,22000,22000,2824.26
2025-05-09,Monitor,North,7,Electronics,12000,84000,18403.99
2025-09-24,Mouse,North,8,Accessories,800,6400,1090.38
2025-05-31,Monitor,South,3,Electronics,12000,36000,8264.76
2025-10-25,Headphones,East,4,Electronics,2500,10000,1777.13
2025-04-09,Printer,West,6,Office,15000,90000,7653.92
2025-09-20,Keyboard,South,7,Accessories,1500,10500,2045.63
2025-09-09,Mouse,North,4,Accessories,800,3200,280.4
2025-05-24,Headphones,North,8,Electronics,2500,20000,3132.03
2025-12-12,Headphones,South,5,Electronics,2500,12500,2975.03
2025-04-22,Laptop,East,1,Electronics,55000,55000,5944.66
2025-03-01,Monitor,East,4,Electronics,12000,48000,7021.36
2025-01-02,Mobile,North,3,Electronics,30000,90000,18366.86
2025-10-31,Tablet,North,9,Electronics,22000,198000,45536.82
2025-09-11,Mobile,East,8,Electronics,30000,240000,46574.47
2025-05-20,Mouse,West,1,Accessories,800,800,99.11
2025-02-06,Printer,South,6,Office,15000,90000,17521.5
2025-06-09,Mobile,North,9,Electronics,30000,270000,35219.8
2025-01-09,Keyboard,North,7,Accessories,1500,10500,2122.4
2025-08-21,Mobile,East,4,Electronics,30000,120000,29062.28
2025-04-09,Mouse,South,1,Accessories,800,800,162.11
2025-05-27,Tablet,East,2,Electronics,22000,44000,9974.35
2025-10-31,Mobile,South,5,Electronics,30000,150000,12053.65
2025-07-27,Keyboard,South,5,Accessories,1500,7500,1514.9
2025-05-11,Laptop,South,8,Electronics,55000,440000,97253.15
2025-06-01,Printer,North,6,Office,15000,90000,7820.55
2025-02-23,Mouse,West,8,Accessories,800,6400,1460.3
2025-04-30,Laptop,East,2,Electronics,55000,110000,13600.18
2025-06-10,Laptop,West,3,Electronics,55000,165000,31861.44
2025-04-26,Laptop,East,6,Electronics,55000,330000,71299.91
2025-03-16,Headphones,South,3,Electronics,2500,7500,1444.9
2025-04-23,Printer,North,6,Office,15000,90000,8611.96
2025-04-14,Tablet,West,6,Electronics,22000,132000,23941.45
2025-12-06,Monitor,North,2,Electronics,12000,24000,4162.3
2025-09-11,Printer,East,7,Office,15000,105000,24470.73
2025-08-15,Headphones,North,2,Electronics,2500,5000,743.6
2025-04-22,Monitor,North,6,Electronics,12000,72000,9690.03
2025-04-09,Printer,West,1,Office,15000,15000,3112.12
2025-06-02,Laptop,South,3,Electronics,55000,165000,24775.54
2025-12-15,Mouse,North,2,Accessories,800,1600,303.74
2025-12-04,Monitor,South,7,Electronics,12000,84000,15951.31
2025-07-13,Keyboard,East,4,Accessories,1500,6000,1385.8
2025-11-06,Keyboard,North,8,Accessories,1500,12000,2181.33
2025-06-12,Mobile,West,6,Electronics,30000,180000,29765.9
2025-07-27,Monitor,East,4,Electronics,12000,48000,4973.19
2025-06-18,Mouse,East,5,Accessories,800,4000,398.7
2025-06-10,Tablet,West,9,Electronics,22000,198000,21034.46
2025-03-09,Headphones,North,7,Electronics,2500,17500,1911.25
2025-10-16,Laptop,North,9,Electronics,55000,495000,93277.36
2025-10-04,Mobile,East,7,Electronics,30000,210000,43253.03
2025-10-31,Keyboard,North,1,Accessories,1500,1500,255.15
2025-05-15,Headphones,South,8,Electronics,2500,20000,4418.66
2025-07-14,Headphones,West,4,Electronics,2500,10000,2485.15
2025-05-08,Laptop,South,3,Electronics,55000,165000,36201.35
2025-02-02,Tablet,North,7,Electronics,22000,154000,30512.02
2025-06-25,Tablet,East,3,Electronics,22000,66000,11254.57
2025-01-22,Monitor,West,8,Electronics,12000,96000,15005.28
2025-08-26,Keyboard,North,6,Accessories,1500,9000,849.12
2025-06-07,Tablet,North,5,Electronics,22000,110000,16268.2
2025-02-07,Mouse,East,4,Accessories,800,3200,751.11
2025-08-18,Tablet,East,8,Electronics,22000,176000,38256.04
2025-12-31,Headphones,South,8,Electronics,2500,20000,2334.57
2025-02-20,Laptop,West,1,Electronics,55000,55000,8762.78
2025-09-21,Mouse,West,9,Accessories,800,7200,1575.67
2025-10-10,Monitor,East,5,Electronics,12000,60000,5487.32
2025-01-27,Keyboard,South,4,Accessories,1500,6000,875.14
2025-08-14,Monitor,West,6,Electronics,12000,72000,16186.54
2025-10-04,Headphones,East,6,Electronics,2500,15000,2229.94
2025-10-13,Mouse,North,2,Accessories,800,1600,149.11
2025-04-07,Mouse,West,8,Accessories,800,6400,1102.28
2025-10-11,Mouse,South,7,Accessories,800,5600,1268.38
2025-11-13,Headphones,South,1,Electronics,2500,2500,450.87
2025-10-31,Headphones,South,5,Electronics,2500,12500,1480.84
2025-05-27,Monitor,North,6,Electronics,12000,72000,10463.09
2025-01-04,Mobile,West,4,Electronics,30000,120000,18782.52
2025-02-04,Monitor,West,2,Electronics,12000,24000,4283.41
2025-07-11,Keyboard,North,4,Accessories,1500,6000,1254.54
2025-02-18,Laptop,West,1,Electronics,55000,55000,5324.47
2025-01-17,Mouse,North,7,Accessories,800,5600,1294.95
2025-06-21,Mobile,North,2,Electronics,30000,60000,4925.56
2025-08-08,Laptop,North,2,Electronics,55000,110000,15719.98
2025-06-07,Mobile,South,9,Electronics,30000,270000,22858.59
2025-02-15,Tablet,West,5,Electronics,22000,110000,16148.62
2025-01-06,Tablet,North,2,Electronics,22000,44000,7453.08
2025-04-09,Printer,West,9,Office,15000,135000,22543.09
2025-08-21,Tablet,South,9,Electronics,22000,198000,21415.05
2025-02-06,Monitor,North,1,Electronics,12000,12000,2277.31
2025-10-07,Tablet,East,3,Electronics,22000,66000,5782.41
2025-12-15,Headphones,South,4,Electronics,2500,10000,2095.24
2025-10-29,Mouse,East,7,Accessories,800,5600,1349.21
2025-06-30,Monitor,West,4,Electronics,12000,48000,6612.51
2025-04-05,Laptop,West,2,Electronics,55000,110000,18472.38
2025-04-09,Printer,South,7,Office,15000,105000,15163.55
2025-07-07,Printer,West,6,Office,15000,90000,7302.67
2025-04-26,Printer,East,3,Office,15000,45000,6551.94
2025-07-10,Laptop,North,6,Electronics,55000,330000,70815.51
2025-09-10,Laptop,North,6,Electronics,55000,330000,59834.97
2025-06-10,Laptop,North,5,Electronics,55000,275000,26733.9
2025-09-13,Laptop,South,4,Electronics,55000,220000,49283.02
2025-11-19,Printer,West,1,Office,15000,15000,2554.27
2025-05-08,Printer,East,6,Office,15000,90000,20078.37
2025-01-18,Mobile,West,2,Electronics,30000,60000,10718.26
2025-10-08,Monitor,West,3,Electronics,12000,36000,6305.29
2025-08-11,Mouse,West,8,Accessories,800,6400,626.52
2025-02-23,Tablet,North,6,Electronics,22000,132000,14315.55
2025-02-27,Tablet,East,3,Electronics,22000,66000,16186.12
2025-11-19,Headphones,East,7,Electronics,2500,17500,2079.75
2025-12-26,Printer,West,4,Office,15000,60000,14770.01
2025-06-23,Headphones,North,9,Electronics,2500,22500,3834.57
2025-10-07,Monitor,North,5,Electronics,12000,60000,6185.05
2025-04-24,Monitor,East,3,Electronics,12000,36000,3487.73
2025-10-15,Headphones,North,2,Electronics,2500,5000,577.53
2025-12-08,Printer,North,2,Office,15000,30000,7120.75
2025-05-31,Headphones,North,3,Electronics,2500,7500,1128.04
2025-05-07,Tablet,South,2,Electronics,22000,44000,6477.85
2025-06-04,Mobile,West,4,Electronics,30000,120000,15989.41
2025-09-30,Tablet,East,2,Electronics,22000,44000,4620.02
2025-04-14,Keyboard,East,9,Accessories,1500,13500,2199.62
2025-10-26,Printer,South,2,Office,15000,30000,3063.24
2025-09-03,Printer,West,9,Office,15000,135000,29974.27
2025-06-25,Mouse,East,6,Accessories,800,4800,686.24
2025-02-08,Laptop,North,1,Electronics,55000,55000,7904.41
2025-06-19,Keyboard,East,4,Accessories,1500,6000,963.49
2025-09-04,Monitor,North,1,Electronics,12000,12000,1866.02
2025-01-26,Printer,South,6,Office,15000,90000,22421.33
2025-12-21,Headphones,North,4,Electronics,2500,10000,1727.15
2025-11-02,Keyboard,East,3,Accessories,1500,4500,427.47
2025-01-13,Mouse,East,3,Accessories,800,2400,439.61
2025-11-12,Monitor,East,9,Electronics,12000,108000,11423.09
2025-11-09,Laptop,South,6,Electronics,55000,330000,28135.6
2025-02-05,Laptop,South,9,Electronics,55000,495000,121287.95
2025-06-22,Mouse,West,5,Accessories,800,4000,846.01
2025-01-20,Mouse,East,2,Accessories,800,1600,394.59
2025-11-17,Headphones,North,8,Electronics,2500,20000,3224.79
2025-09-21,Printer,South,5,Office,15000,75000,12786.28
2025-05-22,Laptop,East,2,Electronics,55000,110000,11947.9
2025-05-23,Monitor,East,4,Electronics,12000,48000,5854.76
2025-04-02,Keyboard,South,9,Accessories,1500,13500,3004.47
2025-12-20,Monitor,West,4,Electronics,12000,48000,6746.47
2025-11-18,Mobile,South,4,Electronics,30000,120000,26467.03
2025-10-15,Mobile,South,2,Electronics,30000,60000,12031.94
2025-08-03,Mouse,North,6,Accessories,800,4800,528.57
2025-12-08,Headphones,North,2,Electronics,2500,5000,831.33
2025-02-20,Mobile,West,7,Electronics,30000,210000,40982.73
2025-06-02,Laptop,East,3,Electronics,55000,165000,19792.79
2025-07-05,Monitor,South,3,Electronics,12000,36000,7963.81
2025-03-04,Monitor,West,5,Electronics,12000,60000,10357.24
2025-07-09,Mouse,North,3,Accessories,800,2400,259.42
2025-05-05,Printer,South,2,Office,15000,30000,5373.22
2025-05-30,Printer,East,9,Office,15000,135000,33743.43
2025-11-10,Keyboard,North,2,Accessories,1500,3000,316.77
2025-02-27,Mouse,North,2,Accessories,800,1600,350.16
2025-12-08,Tablet,North,8,Electronics,22000,176000,20282.69
2025-11-01,Keyboard,West,9,Accessories,1500,13500,2875.58
2025-06-29,Tablet,East,7,Electronics,22000,154000,31551.25
2025-06-19,Printer,South,3,Office,15000,45000,5898.74
2025-11-22,Mouse,West,9,Accessories,800,7200,974.81
2025-09-28,Tablet,West,3,Electronics,22000,66000,14172.09
2025-02-23,Mouse,West,5,Accessories,800,4000,633.78
2025-04-11,Mouse,North,9,Accessories,800,7200,1470.52
2025-09-21,Printer,East,3,Office,15000,45000,4732.08
2025-02-22,Keyboard,West,7,Accessories,1500,10500,2361.82
2025-03-01,Keyboard,South,1,Accessories,1500,1500,301.28
2025-04-18,Mouse,East,4,Accessories,800,3200,749.38
2025-01-05,Mobile,South,4,Electronics,30000,120000,12300.4
2025-04-13,Headphones,East,7,Electronics,2500,17500,3164.22
2025-07-15,Printer,South,8,Office,15000,120000,21822.06
2025-09-19,Headphones,North,1,Electronics,2500,2500,350.22
2025-12-31,Headphones,West,5,Electronics,2500,12500,1974.24
2025-12-16,Keyboard,South,7,Accessories,1500,10500,907.8
2025-02-16,Keyboard,East,4,Accessories,1500,6000,1240.78
2025-12-21,Mobile,West,4,Electronics,30000,120000,20806.18
2025-11-07,Headphones,West,4,Electronics,2500,10000,898.16
2025-11-04,Headphones,East,6,Electronics,2500,15000,2935.93
2025-05-24,Mouse,South,7,Accessories,800,5600,892.38
2025-09-26,Keyboard,North,2,Accessories,1500,3000,257.58
2025-05-04,Headphones,North,5,Electronics,2500,12500,3060.42
2025-04-16,Monitor,South,4,Electronics,12000,48000,11584.76
2025-06-07,Mobile,West,3,Electronics,30000,90000,15047.41
2025-05-27,Tablet,West,7,Electronics,22000,154000,14772.34
2025-05-25,Monitor,West,6,Electronics,12000,72000,14996.56
2025-04-30,Monitor,West,7,Electronics,12000,84000,13744.78
2025-11-15,Tablet,South,5,Electronics,22000,110000,14455.77
2025-10-02,Printer,West,6,Office,15000,90000,14718.7
2025-04-02,Printer,East,5,Office,15000,75000,12661.16
2025-02-27,Mobile,West,7,Electronics,30000,210000,36888.81
2025-12-12,Monitor,North,2,Electronics,12000,24000,3720.19
2025-08-17,Headphones,West,5,Electronics,2500,12500,2287.23
2025-04-27,Keyboard,South,6,Accessories,1500,9000,2125.66
2025-11-14,Mobile,North,6,Electronics,30000,180000,25485.4
2025-10-06,Mouse,South,5,Accessories,800,4000,813.49
2025-05-07,Tablet,South,7,Electronics,22000,154000,35736.77
